,emp_length,annual_income,debt_to_income,delinq_2y,inquiries_last_12m,total_credit_lines,total_credit_limit,total_credit_utilized,num_historical_failed_to_pay,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,loan_amount,term,interest_rate,paid_total,homeownership_OWN,homeownership_RENT,verified_income_Source Verified,verified_income_Verified,loan_purpose_credit_card,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_house,loan_purpose_major_purchase,loan_purpose_medical,loan_purpose_moving,loan_purpose_other,loan_purpose_renewable_energy,loan_purpose_small_business,loan_purpose_vacation,application_type_joint,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,sub_grade_A2,sub_grade_A3,sub_grade_A4,sub_grade_A5,sub_grade_B1,sub_grade_B2,sub_grade_B3,sub_grade_B4,sub_grade_B5,sub_grade_C1,sub_grade_C2,sub_grade_C3,sub_grade_C4,sub_grade_C5,sub_grade_D1,sub_grade_D2,sub_grade_D3,sub_grade_D4,sub_grade_D5,sub_grade_E1,sub_grade_E2,sub_grade_E3,sub_grade_E4,sub_grade_E5,sub_grade_F1,sub_grade_F2,sub_grade_F3,sub_grade_F4,sub_grade_F5,sub_grade_G1,sub_grade_G4,initial_listing_status_whole
0,3.0,90000.0,18.01,0,6,28,70795,38767,0,1250,2,5,5.0,2,11100,1,92.9,0,28000,60,14.07,1999.33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10.0,40000.0,5.04,0,1,30,28800,4321,1,0,0,11,8.0,3,16500,0,100.0,1,5000,36,12.61,499.12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3.0,40000.0,21.15,0,4,31,24193,16000,0,432,1,13,7.0,3,4300,0,93.5,0,2000,36,17.09,281.8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,30000.0,10.16,0,0,4,25400,4997,1,0,1,1,15.0,2,19400,0,100.0,0,21600,36,6.72,3312.89,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,10.0,35000.0,57.96,0,7,22,69839,52722,0,0,1,6,4.0,10,32700,0,100.0,0,23000,36,14.07,2324.65,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,,34000.0,6.46,1,6,32,42100,3898,0,0,0,2,5.0,1,27200,3,78.1,0,5000,36,6.72,873.13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,10.0,35000.0,23.66,0,1,12,291852,18916,0,0,2,1,9.0,3,9100,2,100.0,0,24000,60,13.59,2730.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,10.0,110000.0,16.19,1,1,30,342336,60805,0,0,2,4,7.0,5,22250,7,93.0,0,20000,60,11.99,1765.84,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,10.0,65000.0,36.48,1,3,35,283190,69561,0,0,6,10,4.0,11,36700,2,97.1,0,20000,36,13.59,2703.22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,3.0,30000.0,18.91,0,0,9,33114,17768,0,0,1,5,17.0,3,14700,0,100.0,0,6400,36,6.71,391.15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
